2023-08-29 16:11:40.557 INFO  [5660] [CTimerProxy::Unregister@74] Unegister timer event,Handle[0]---end

2023-08-29 16:11:45.005 INFO  [26740] [CTimerProxy::Regitser@52] Register timer event,Handle[0],pUserData[00000223728885E0]

2023-08-29 16:11:45.005 INFO  [26740] [CCommFactory::SetLogPath@83] set log---call register timer,timer id[0],this[00000223728885E0],pLogPath[H:\WindowsFormsApp1\obj\Debug\log\SDK]

2023-08-29 16:11:45.005 INFO  [26740] [CCommFactory::UpdateLogPath@231] current Path[H]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[0]---size[1024]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[1]---size[2048]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[2]---size[10240]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[3]---size[65536]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[4]---size[524288]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[5]---size[1048576]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@23] index i[6]---size[2097152]

2023-08-29 16:11:45.116 INFO  [26740] [CMemPool::CMemPool@28] Want Data len[1310888],get Datalen[2097152]

2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[H:\WindowsFormsApp1\obj\Debug].


2023-08-29 16:11:45.117 INFO  [26740] [CMQCommSubject::CMQCommSubject@12] CMQCommSubject loadLog: Get work path is[H:\WindowsFormsApp1\obj\Debug].


2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[H:\WindowsFormsApp1\obj\Debug].


2023-08-29 16:11:45.117 INFO  [26740] [CMQCommSubject::CMQCommSubject@12] CMQCommSubject loadLog: Get work path is[H:\WindowsFormsApp1\obj\Debug].


2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[H:\WindowsFormsApp1\obj\Debug].


2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::BindPort@188] bind localip[127.0.0.1],port[49201]

2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[H:\WindowsFormsApp1\obj\Debug].


2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::BindPort@188] bind localip[127.0.0.1],port[49202]

2023-08-29 16:11:45.117 INFO  [26740] [CMQCommRequire::Connect@204] want connect to server[tcp://127.0.0.1:5556],nConnTimeout[10000],client type[Require],m_dwSpliceSendBufSize[10240]

2023-08-29 16:11:45.117 INFO  [26740] [CMQCommBaseClient::Connect@223] mq client type[5]---connect server[127.0.0.1:5556], nLoopTimes[200],nConnTimeout[10000]

2023-08-29 16:11:45.118 INFO  [26740] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-08-29 16:11:45.118 INFO  [26740] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:5556] success,socket id[1912]-[0000000000000778],local ipaddr[127.0.0.1:49202],pIocp[000002237595D370]

2023-08-29 16:11:45.118 INFO  [26740] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[5000],socketid[1912]

2023-08-29 16:11:45.118 INFO  [26740] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1912],m_strServerAddr[tcp://127.0.0.1:5556]

2023-08-29 16:11:45.118 INFO  [26740] [CTimerProxy::Regitser@52] Register timer event,Handle[1],pUserData[0000022375187F60]

2023-08-29 16:11:45.118 INFO  [26740] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[1],client[0000022375187F60]---nClientType[5]

2023-08-29 16:11:45.118 INFO  [26740] [CMQCommRequire::Connect@234] want connect to server[tcp://127.0.0.1:5556] succ,client type[Require]

2023-08-29 16:11:45.158 INFO  [26740] [CMQCommSubject::Connect@28] want to connect to server [tcp://127.0.0.1:65246],client type[Subject], connect timeout is[0]ms

2023-08-29 16:11:45.158 INFO  [26740] [CMQCommBaseClient::Connect@223] mq client type[3]---connect server[127.0.0.1:65246], nLoopTimes[2],nConnTimeout[0]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:65246] success,socket id[1972]-[00000000000007B4],local ipaddr[127.0.0.1:49203],pIocp[000002237595D450]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[500],socketid[1972]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1972],m_strServerAddr[tcp://127.0.0.1:65246]

2023-08-29 16:11:45.180 INFO  [26740] [CTimerProxy::Regitser@52] Register timer event,Handle[2],pUserData[0000022372877780]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[2],client[0000022372877780]---nClientType[3]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommSubject::Connect@47] want to connect to server [tcp://127.0.0.1:65246],client type[Subject],send register cmd ret[0]

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommSubject::Connect@28] want to connect to server [tcp://127.0.0.1:65253],client type[Subject], connect timeout is[0]ms

2023-08-29 16:11:45.180 INFO  [26740] [CMQCommBaseClient::Connect@223] mq client type[3]---connect server[127.0.0.1:65253], nLoopTimes[2],nConnTimeout[0]

2023-08-29 16:11:45.196 INFO  [26740] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-08-29 16:11:45.196 INFO  [26740] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:65253] success,socket id[1976]-[00000000000007B8],local ipaddr[127.0.0.1:49204],pIocp[000002237595D610]

2023-08-29 16:11:45.196 INFO  [26740] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[500],socketid[1976]

2023-08-29 16:11:45.196 INFO  [26740] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1976],m_strServerAddr[tcp://127.0.0.1:65253]

2023-08-29 16:11:45.196 INFO  [26740] [CTimerProxy::Regitser@52] Register timer event,Handle[3],pUserData[00000223728773C0]

2023-08-29 16:11:45.196 INFO  [26740] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[3],client[00000223728773C0]---nClientType[3]

