2023-08-29 16:11:45.795 INFO  [26740] [CServerManager::SM_RegisterOutputPlatformInfoCallBack@601] end

2023-11-06 14:38:41.761 INFO  [584] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2023-11-06 14:38:41.770 INFO  [584] [CClientManager::InitAuthorization@5906] begin.

2023-11-06 14:38:41.770 INFO  [584] [CClientManager::CheckLicense@6631] start

2023-11-06 14:38:41.770 INFO  [584] [CClientManager::CheckLicense@6683] end

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::InitAuthorization@5962] SDK: InitAuthorization, authorization check successful.

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::InitAuthorization@5966] end.

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::Init@5408] begin.

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::DeInitPair@5695] start

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::DeInitPair@5709] end

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::DeInitPair@5695] start

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::DeInitPair@5709] end

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::Init@5426] end.nRet[0]

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::PF_DetectAndStartServer@12450] begin.

2023-11-06 14:38:41.868 INFO  [584] [CServerManager::DetectService@33992] SDK: DetectService by OpenSCManager start

2023-11-06 14:38:41.868 INFO  [584] [CServerManager::DetectService@34057] end

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::PF_DetectAndStartServer@12645] end.

2023-11-06 14:38:41.868 INFO  [584] [CClientManager::PF_CreateHandle@1447] begin. nHandleType:[0]

2023-11-06 14:38:41.870 INFO  [584] [CClientManager::PF_CreateHandle@1475] SDK: Third software start server by exe.

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::SM_Init@388] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInit@23691] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopModuResSub@24968] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopModuResSub@24978] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopSub@24844] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopSub@24854] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopHeartPair@25850] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopHeartPair@25858] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitReadSendBuffer@23798] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitReadSendBuffer@23820] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitHeartPair@24496] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopHeartPair@25850] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::StopHeartPair@25858] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitHeartPair@24511] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitSub@23975] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitSub@23989] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitProxySub@24078] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitProxySub@24093] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitReq@24353] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::UnRegisterModule@24777] start

2023-11-06 14:38:41.870 WARN  [584] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::NotifyServerDestroy4Export@12373] start

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::NotifyServerDestroy4Export@12389] end

2023-11-06 14:38:41.870 INFO  [584] [CServerManager::DeInitReq@24378] end

2023-11-06 14:38:41.871 INFO  [584] [CServerManager::DeInit@23729] end

2023-11-06 14:38:41.871 INFO  [584] [CServerManager::InitReadSendBuffer@23740] start

2023-11-06 14:38:41.871 INFO  [584] [CServerManager::DeInitReadSendBuffer@23798] start

2023-11-06 14:38:41.871 INFO  [584] [CServerManager::DeInitReadSendBuffer@23820] end

2023-11-06 14:38:41.871 INFO  [584] [CServerManager::InitReadSendBuffer@23787] end

2023-11-06 14:38:41.872 INFO  [584] [CServerManager::SM_Init@423] SDK: InitReadSendBuffer success.pstPlatformBasicInfo->nRepIp[0x7f000001],nport[5556]

2023-11-06 14:38:41.872 INFO  [584] [CServerManager::SM_Init@442] SDK: GetAdapterInfo success. Info:[127.0.0.1]

2023-11-06 14:38:41.872 INFO  [584] [CServerManager::InitSub@23894] start

2023-11-06 14:38:41.872 INFO  [584] [CServerManager::DeInitSub@23975] start

2023-11-06 14:38:41.872 INFO  [584] [CServerManager::DeInitSub@23989] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitSub@23964] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::SM_Init@480] SDK: InitSub success.

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitProxySub@23999] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::DeInitProxySub@24078] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::DeInitProxySub@24093] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitProxySub@24067] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::SM_Init@489] SDK: InitProxySub success.

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitHeartPair@24383] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::DeInitHeartPair@24496] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::StopHeartPair@25850] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::StopHeartPair@25858] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::DeInitHeartPair@24511] end

