2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49670] success,socket id[1456]-[00000000000005B0],local ipaddr[127.0.0.1:50412],pIocp[0000021D6AFCFA20]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[500],socketid[1456]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1456],m_strServerAddr[tcp://127.0.0.1:49670]

2023-10-09 13:19:07.854 INFO  [9184] [CTimerProxy::Regitser@52] Register timer event,Handle[2],pUserData[0000021D6AF99B70]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[2],client[0000021D6AF99B70]---nClientType[3]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommSubject::Connect@47] want to connect to server [tcp://127.0.0.1:49670],client type[Subject],send register cmd ret[0]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommSubject::Connect@28] want to connect to server [tcp://127.0.0.1:49675],client type[Subject], connect timeout is[0]ms

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::Connect@223] mq client type[3]---connect server[127.0.0.1:49675], nLoopTimes[2],nConnTimeout[0]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49675] success,socket id[1460]-[00000000000005B4],local ipaddr[127.0.0.1:50413],pIocp[0000021D6AFD04A0]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[500],socketid[1460]

2023-10-09 13:19:07.855 INFO  [9184] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1460],m_strServerAddr[tcp://127.0.0.1:49675]

2023-10-09 13:19:07.855 INFO  [9184] [CTimerProxy::Regitser@52] Register timer event,Handle[3],pUserData[0000021D6AF99990]

2023-10-09 13:19:07.855 INFO  [9184] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[3],client[0000021D6AF99990]---nClientType[3]

2023-10-09 13:19:07.855 INFO  [9184] [CMQCommSubject::Connect@47] want to connect to server [tcp://127.0.0.1:49675],client type[Subject],send register cmd ret[0]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommRequire::Connect@204] want connect to server[tcp://127.0.0.1:49671],nConnTimeout[0],client type[Require],m_dwSpliceSendBufSize[10240]

